Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
APG,APi Group Corporation,13.05,$2.21B,2020,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/apg
APH,Amphenol Corporation,106.17,$31.42B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aph
APLE,"Apple Hospitality REIT, Inc.",8.65,$1.93B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aple
APO,"Apollo Global Management, Inc",52.13,$11.93B,2011,Finance,Investment Managers,https://old.nasdaq.com/symbol/apo
APRN,"Blue Apron Holdings, Inc.",13.94,$186.54M,2017,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/aprn
APTS,"Preferred Apartment Communities, Inc.",7.22,$343.57M,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/apts
APTV,Aptiv PLC,83.55,$22.56B,2011,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/aptv
AQN,Algonquin Power & Utilities Corp.,13.42,$7.85B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,27.45,n/a,2018,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqna
AQNB,Algonquin Power & Utilities Corp.,27.2,n/a,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqnb
AQUA,Evoqua Water Technologies Corp.,19.66,$2.3B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aqua
AR,Antero Resources Corporation,2.79,$748.81M,2013,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ar
ARA,"American Renal Associates Holdings, Inc",6.52,$219.98M,2016,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/ara
ARC,"ARC Document Solutions, Inc.",0.9526,$41.41M,2004,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/arc
ARCH,"Arch Resources, Inc.",30.02,$454.58M,2016,Energy,Coal Mining,https://old.nasdaq.com/symbol/arch
ARCO,Arcos Dorados Holdings Inc.,4.89,$997.9M,2011,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/arco
ARD,Ardagh Group S.A.,14.51,$3.43B,2017,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/ard
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",12.09,$277.04M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ardc
ARE,"Alexandria Real Estate Equities, Inc.",170.36,$21.48B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/are
ARES,Ares Management Corporation,39.49,$5.23B,2014,Finance,Investment Managers,https://old.nasdaq.com/symbol/ares
ARGD,"Argo Group International Holdings, Ltd.",25.4,n/a,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/argd
ARGO,"Argo Group International Holdings, Ltd.",34.44,$1.19B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/argo
ARI,Apollo Commercial Real Estate Finance,9.06,$1.39B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ari
ARL,"American Realty Investors, Inc.",9.41,$150.53M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/arl
ARLO,"Arlo Technologies, Inc.",3.4,$265.29M,2018,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/arlo
ARMK,Aramark,22.06,$5.57B,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/armk
ARNC,Arconic Corporation,17.01,$1.85B,2020,n/a,n/a,https://old.nasdaq.com/symbol/arnc
AROC,"Archrock, Inc.",7.08,$1.08B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/aroc
ARR,"ARMOUR Residential REIT, Inc.",9.28,$600.32M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/arr
ARW,"Arrow Electronics, Inc.",69.08,$5.43B,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/arw
ASA,ASA Gold and Precious Metals Limited,23.63,$455.82M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/asa
ASB,Associated Banc-Corp,13.24,$2.03B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/asb
ASC,Ardmore Shipping Corporation,4.22,$140.21M,2013,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/asc
ASG,"Liberty All-Star Growth Fund, Inc.",7.09,$295.24M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/asg
ASGN,ASGN Incorporated,68.4,$3.59B,1992,Technology,Professional Services,https://old.nasdaq.com/symbol/asgn
ASH,Ashland Global Holdings Inc.,79.65,$4.82B,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/ash
ASIX,AdvanSix Inc.,11.91,$333.53M,2016,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/asix
ASPN,"Aspen Aerogels, Inc.",6.15,$163.56M,2014,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/aspn
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",100.17,$3.01B,n/a,Transportation,Aerospace,https://old.nasdaq.com/symbol/asr
ASX,"ASE Technology Holding Co., Ltd.",4.97,$10.59B,2018,Technology,Semiconductors,https://old.nasdaq.com/symbol/asx
AT,Atlantic Power Corporation,1.98,$182.51M,n/a,Energy,Electric Utilities: Central,https://old.nasdaq.com/symbol/at
ATCO,Atlas Corp.,7.32,$1.81B,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/atco
ATEN,"A10 Networks, Inc.",7.23,$555.17M,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
ATGE,Adtalem Global Education Inc.,36.99,$1.92B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge
ATH,Athene Holding Ltd.,33.02,$6.41B,2016,Finance,Life Insurance,https://old.nasdaq.com/symbol/ath
ATHM,Autohome Inc.,81.28,$9.68B,2013,Technology,EDP Services,https://old.nasdaq.com/symbol/athm
ATI,Allegheny Technologies Incorporated,9.25,$1.17B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ati
ATKR,Atkore International Group Inc.,27.68,$1.31B,2016,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/atkr
ATO,Atmos Energy Corporation,102.57,$12.55B,n/a,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/ato
ATR,"AptarGroup, Inc.",119.85,$7.69B,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/atr
ATTO,Atento S.A.,1.48,$105.35M,2014,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/atto
ATUS,"Altice USA, Inc.",24.51,$14.55B,2017,Consumer Services,Television Services,https://old.nasdaq.com/symbol/atus
ATV,"Acorn International, Inc.",16.56,$42.74M,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv
AU,AngloGold Ashanti Limited,37.91,$15.79B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/au
AUY,Yamana Gold Inc.,6.61,$6.29B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/auy
AVA,Avista Corporation,36.85,$2.48B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ava
